p,thr_total_bits_per_slot,thr_cli2srv_bits_per_slot,thr_srv2cli_bits_per_slot,avg_delay_cli2srv_slots,avg_delay_srv2cli_slots,efficiency
0.100000,467.640000,467.640000,0.000000,38874.924557,nan,0.913359
0.200000,466.920000,466.920000,0.000000,38906.154202,nan,0.911953
0.300000,466.080000,466.080000,0.000000,38778.156797,nan,0.910312
0.400000,465.840000,465.840000,0.000000,38527.702988,nan,0.909844
0.500000,464.280000,464.280000,0.000000,38884.405531,nan,0.906797
0.600000,462.360000,462.360000,0.000000,38678.093693,nan,0.903047
0.700000,462.000000,462.000000,0.000000,38554.757662,nan,0.902344
0.800000,463.440000,463.440000,0.000000,37767.244951,nan,0.905156
0.900000,469.800000,469.800000,0.000000,34955.021711,nan,0.917578
1.000000,478.800000,478.800000,0.000000,35173.088221,nan,0.935156
